,Location,Price,Rooms,Bathrooms,Car Parks,Property Type,Size,Furnishing,Class
45374,KLCC,2450000.0,2,2.0,1.0,Serviced Residence,1103.0,Fully Furnished,Built-up
45379,KLCC,1238000.0,2,2.0,1.0,Condominium,736.0,Partly Furnished,Built-up
45380,Setapak,515000.0,3+1,2.0,2.0,Serviced Residence,1059.0,Partly Furnished,Built-up
45383,Mont Kiara,1200000.0,3,2.0,2.0,Condominium,1200.0,Unknown,Built-up
45385,Mont Kiara,1250000.0,3+1,4.0,2.0,Condominium,2002.0,Partly Furnished,Built-up
45386,Ampang Hilir,1000000.0,2,2.0,1.0,Serviced Residence,941.0,Unfurnished,Built-up
45387,Bukit Jalil,565000.0,1+1,1.0,1.0,Serviced Residence,667.0,Fully Furnished,Built-up
45388,Sri Petaling,490000.0,3,2.0,1.0,Condominium (Intermediate),900.0,Unfurnished,Built-up
45389,Bukit Bintang,1400000.0,3,2.0,1.0,Serviced Residence (Corner),1600.0,Fully Furnished,Built-up
45390,City Centre,630000.0,3+1,3.0,1.0,Condominium (EndLot),1480.0,Partly Furnished,Built-up
45391,City Centre,655000.0,2+1,2.0,1.0,Condominium (EndLot),1113.0,Fully Furnished,Built-up
45393,Mont Kiara,1900000.0,3+1,3.0,3.0,Condominium,2535.0,Partly Furnished,Built-up
45395,Kuchai Lama,370000.0,3,2.0,1.0,Condominium (Corner),950.0,Partly Furnished,Built-up
45400,Mont Kiara,1800000.0,3+1,4.0,2.0,Condominium (Corner),2020.0,Unknown,Built-up
45402,Mont Kiara,1700000.0,3+1,4.0,2.0,Condominium,1878.0,Unfurnished,Built-up
45403,Cheras,460000.0,3,2.0,1.0,2-sty Terrace/Link House (Intermediate),1067.0,Fully Furnished,Land area
45408,Bukit Jalil,450000.0,4,2.0,1.0,Condominium (Intermediate),1090.0,Partly Furnished,Built-up
45409,Cheras,470000.0,4,2.0,2.0,Condominium (Intermediate),1142.0,Partly Furnished,Built-up
45411,Bukit Jalil,870000.0,2,2.0,2.0,Serviced Residence (Intermediate),1025.0,Partly Furnished,Built-up
45412,KLCC,4700000.0,3+1,5.0,2.0,Condominium,2250.0,Fully Furnished,Built-up
45413,KLCC,8050000.0,3+2,5.0,2.0,Condominium,3218.0,Partly Furnished,Built-up
45414,KLCC,4500000.0,3+1,4.0,2.0,Condominium,2250.0,Partly Furnished,Built-up
45416,Bangsar,890000.0,1+1,1.0,1.0,Serviced Residence,689.0,Partly Furnished,Built-up
45417,Mont Kiara,850000.0,2+1,2.0,1.0,Condominium (Corner),1228.0,Fully Furnished,Built-up
45418,KLCC,1050000.0,2,1.0,1.0,Serviced Residence (Intermediate),880.0,Fully Furnished,Built-up
